,Company Name,job_title,seniority,min_salary,max_salary,Rating,python,sql,r_studio,spark,aws,excel,sector,age,Revenue,Type of ownership,description_len,min_employees,max_employees,avg_size,avg_salary
42,HeliosX,manager,na,38,70,5.0,0,0,0,0,0,1,medical,8,$10 to $25 million (USD),Private,3706,51,200,126.0,54.0
43,Koch Supply and Trading,analyst,na,38,70,3.8,1,1,0,0,0,0,production,81,$10+ billion (USD),Private,3513,10000,10000,10000.0,54.0
44,Always Pure Organics,manager,na,38,70,-1.0,0,0,0,0,0,1,public,-1,$100 to $500 million (USD),Public,2591,5001,10000,7500.0,54.0
45,Lendable,analyst,na,38,70,-1.0,0,0,0,0,0,0,finance,-1,Less than $1 million (USD),Private,3383,1,50,26.0,54.0
46,The Hut Group,na,na,38,70,3.3,0,0,0,0,0,1,retail,17,$500 million to $1 billion (USD),Private,4385,5001,10000,7500.0,54.0
47,Informed Solutions,ai researcher,na,38,70,3.6,0,0,0,0,0,1,public,29,Unknown / Non-Applicable,Private,3436,51,200,126.0,54.0
48,Microsoft,na,na,38,70,4.4,0,0,0,0,1,1,inforamtion tech,46,$10+ billion (USD),Public,6505,10000,10000,10000.0,54.0
49,Sensor Tower,analyst,na,38,70,4.5,1,1,0,0,0,1,public,8,Unknown / Non-Applicable,Private,5203,51,200,126.0,54.0
50,Abcam,na,na,38,70,4.8,0,0,0,0,0,1,medical,23,$100 to $500 million (USD),Public,5537,1001,5000,3000.0,54.0
51,Orion Group,na,na,38,70,4.6,0,0,0,0,0,1,public,34,$100 to $500 million (USD),Private,4576,201,500,350.0,54.0
52,Seqirus A CSL Company,manager,na,38,70,3.6,0,0,0,0,0,1,medical,6,Less than $1 million (USD),Public,5538,1001,5000,3000.0,54.0
53,BioTalent,na,na,38,70,5.0,0,0,0,0,0,0,medical,3,Unknown / Non-Applicable,Private,958,1,50,26.0,54.0
54,The Hut Group,manager,na,38,70,3.3,0,0,0,0,0,1,retail,17,$500 million to $1 billion (USD),Private,4655,5001,10000,7500.0,54.0
55,Rockstar Games,ai researcher,na,38,70,4.2,0,0,0,0,0,1,inforamtion tech,23,$10 to $25 million (USD),Venture,4089,1001,5000,3000.0,54.0
56,MediaCom London,analyst,na,38,70,3.2,0,0,0,0,0,1,telecommunication,35,Unknown / Non-Applicable,Private,3349,1001,5000,3000.0,54.0
57,Ieso Digital Health,manager,na,38,70,3.7,0,0,0,0,0,1,medical,10,Unknown / Non-Applicable,Organization,4564,51,200,126.0,54.0
58,Yieldify,na,na,38,70,3.9,0,0,0,0,0,1,inforamtion tech,9,Unknown / Non-Applicable,Private,4917,51,200,126.0,54.0
59,Parexel,ai researcher,na,38,70,3.7,0,0,0,0,0,1,medical,39,$2 to $5 billion (USD),Private,5417,10000,10000,10000.0,54.0
60,Twilio,manager,na,38,70,4.1,0,0,0,0,1,0,telecommunication,13,$1 to $2 billion (USD),Public,4611,1001,5000,3000.0,54.0
61,Facebook,ai researcher,na,38,70,4.3,0,0,0,0,0,1,telecommunication,17,$5 to $10 billion (USD),Public,3950,10000,10000,10000.0,54.0
62,"Nomura Holdings, Inc.",data scientist,na,54,80,3.9,1,1,0,1,0,1,finance,96,$10+ billion (USD),Public,3885,10000,10000,10000.0,67.0
63,Informa Intelligence,data scientist,na,54,80,4.2,1,0,0,0,0,0,public,23,$1 to $2 billion (USD),Public,4537,1001,5000,3000.0,67.0
64,Wefarm,analyst,na,54,80,4.3,1,1,0,0,0,0,telecommunication,6,Unknown / Non-Applicable,Private,4972,1,50,26.0,67.0
65,Microsoft,manager,na,54,80,4.4,0,0,0,0,1,0,inforamtion tech,46,$10+ billion (USD),Public,6679,10000,10000,10000.0,67.0
66,Jacobs,analyst,na,54,80,3.8,1,0,0,0,0,1,public,74,$10+ billion (USD),Public,4484,10000,10000,10000.0,67.0
67,Boots,data scientist,na,54,80,3.5,1,1,0,0,0,0,medical,172,Unknown / Non-Applicable,Private,5578,10000,10000,10000.0,67.0
68,SPT Labtech,na,na,54,80,5.0,0,0,0,0,0,1,public,-1,Less than $1 million (USD),Private,4660,51,200,126.0,67.0
69,Templeton and Partners,data scientist,na,54,80,3.6,1,1,0,0,0,0,public,25,Unknown / Non-Applicable,Public,2280,51,200,126.0,67.0
70,Element Materials Technology,data scientist,na,54,80,3.7,1,1,0,0,1,1,public,10,$500 million to $1 billion (USD),Private,4103,5001,10000,7500.0,67.0
71,Paramount Recruitment Ltd,data scientist,na,54,80,3.8,1,0,0,0,0,0,public,19,Less than $1 million (USD),Private,2428,1,50,26.0,67.0
72,Analog Devices,data scientist,na,54,80,3.9,1,1,0,0,0,0,production,56,$5 to $10 billion (USD),Public,3327,10000,10000,10000.0,67.0
73,Selina Finance,data scientist,na,54,80,5.0,1,1,0,0,1,0,finance,2,$10 to $25 million (USD),Private,3027,1,50,26.0,67.0
74,ECS,data scientist,na,54,80,3.5,1,1,0,1,1,1,public,13,Unknown / Non-Applicable,Private,3748,501,1000,750.0,67.0
75,New Signature,data scientist,na,54,80,3.5,1,1,0,1,1,0,public,18,Unknown / Non-Applicable,Private,6455,201,500,350.0,67.0
76,Institute for Apprenticeships and Technical Education,data scientist,na,54,80,-1.0,1,0,0,0,0,0,public,-1,Unknown / Non-Applicable,Private,11561,5001,10000,7500.0,67.0
77,City Pantry,ai researcher,na,54,80,4.3,0,0,0,0,0,0,telecommunication,7,Unknown / Non-Applicable,Private,5348,51,200,126.0,67.0
78,Concept Resourcing,data scientist,na,54,80,4.2,1,0,0,0,0,0,public,21,Unknown / Non-Applicable,Private,1545,51,200,126.0,67.0
79,GoCardless,data scientist,na,54,80,4.2,1,1,0,0,0,0,telecommunication,10,Unknown / Non-Applicable,Private,5588,201,500,350.0,67.0
80,Duff & Phelps,na,na,54,80,3.8,0,0,0,0,0,1,finance,89,$1 to $2 billion (USD),Private,3671,1001,5000,3000.0,67.0
81,GCS Recruitment Specialists Ltd,data scientist,na,54,80,4.2,1,1,0,0,0,0,public,30,Unknown / Non-Applicable,Private,1790,51,200,126.0,67.0
82,GCS Recruitment Specialists Ltd,data scientist,na,54,80,4.2,1,1,0,0,0,0,public,30,Unknown / Non-Applicable,Private,1809,51,200,126.0,67.0
83,ION RECRUITMENT LTD.,data scientist,na,54,80,-1.0,1,1,0,0,0,1,public,-1,$10+ billion (USD),Private,1879,51,200,126.0,67.0
84,TalentPool,analyst,na,54,80,4.5,0,1,0,0,0,1,public,-1,Unknown / Non-Applicable,Organization,2925,1,50,26.0,67.0
85,ECM Selection,data scientist,na,54,80,-1.0,1,1,0,0,0,1,public,-1,Less than $1 million (USD),Private,2081,1,50,26.0,67.0
86,Saint-Gobain,data scientist,na,54,80,3.7,1,1,0,1,0,1,production,356,Unknown / Non-Applicable,Venture,5747,5001,10000,7500.0,67.0
87,OLIVER,na,senior,54,80,3.4,0,0,0,0,0,1,telecommunication,17,Unknown / Non-Applicable,Private,5579,1001,5000,3000.0,67.0
88,GroupM,data scientist,na,54,80,3.7,1,1,0,0,0,0,public,18,Unknown / Non-Applicable,Venture,4640,10000,10000,10000.0,67.0
89,PayPal,analyst,senior,54,80,4.6,1,1,0,0,0,0,telecommunication,23,$10+ billion (USD),Public,4424,10000,10000,10000.0,67.0
90,Logic Plum,data scientist,na,54,80,-1.0,1,1,0,0,0,0,public,-1,Unknown / Non-Applicable,Public,3088,1,50,26.0,67.0
91,data/source.io,data scientist,na,54,80,-1.0,1,1,0,1,1,1,public,-1,Unknown / Non-Applicable,College / University,3261,1,50,26.0,67.0
92,Freemavens,analyst,na,23,36,4.4,0,0,0,0,0,0,public,-1,Less than $1 million (USD),Private,3198,1,50,26.0,29.5
93,Northumbria Pharma,na,na,23,36,4.0,0,0,0,0,0,1,public,-1,Less than $1 million (USD),Private,2547,1,50,26.0,29.5
94,Freemavens,analyst,na,23,36,4.4,0,0,0,0,0,0,public,-1,Less than $1 million (USD),Private,3199,1,50,26.0,29.5
95,Pace,na,na,23,36,5.0,0,0,0,0,0,0,public,39,Unknown / Non-Applicable,Organization,2393,201,500,350.0,29.5
96,Faculty,director,na,23,36,3.8,0,0,0,0,0,0,telecommunication,7,$10 to $25 million (USD),Private,5009,51,200,126.0,29.5
97,Freemavens,analyst,na,23,36,4.4,0,0,0,0,0,0,public,-1,Less than $1 million (USD),Private,4277,1,50,26.0,29.5
98,Freemavens,analyst,na,23,36,4.4,0,0,0,0,0,0,public,-1,Less than $1 million (USD),Private,4281,1,50,26.0,29.5
99,Ruroc,director,na,23,36,-1.0,0,0,0,0,0,1,production,11,Unknown / Non-Applicable,Private,5570,51,200,126.0,29.5
100,Your.MD,ai researcher,na,23,36,4.2,0,0,0,0,0,1,medical,8,Unknown / Non-Applicable,Private,4046,51,200,126.0,29.5
101,CHM Recruit,manager,na,23,36,-1.0,0,0,0,0,0,1,public,-1,$10+ billion (USD),Public,3543,10000,10000,10000.0,29.5
102,Elekta,manager,na,23,36,3.1,0,0,0,0,0,1,medical,49,$1 to $2 billion (USD),Public,4747,1001,5000,3000.0,29.5
103,The Hut Group,manager,na,23,36,3.3,0,0,0,0,0,0,retail,17,$500 million to $1 billion (USD),Private,3810,5001,10000,7500.0,29.5
104,Hobson Prior,na,na,23,36,4.4,0,0,0,0,0,1,public,19,Unknown / Non-Applicable,Venture,2179,51,200,126.0,29.5
