,Company Name,job_title,seniority,min_salary,max_salary,Rating,python,sql,r_studio,spark,aws,excel,sector,age,Revenue,Type of ownership,description_len,min_employees,max_employees,avg_size,avg_salary
188,Ernst & Young,data scientist,na,22,30,3.8,1,1,0,1,0,1,finance,32,$10+ billion (USD),Private,5668,10000,10000,10000.0,26.0
189,Matillion,na,na,22,30,4.5,1,1,0,0,1,1,inforamtion tech,10,$10 to $25 million (USD),Private,5282,201,500,350.0,26.0
190,Xactly Corporation,manager,na,22,30,4.2,0,0,0,0,0,1,inforamtion tech,16,$100 to $500 million (USD),Private,8237,501,1000,750.0,26.0
191,ZS Associates,consultant,na,22,30,3.9,0,0,0,0,0,0,public,38,Unknown / Non-Applicable,Private,3955,5001,10000,7500.0,26.0
192,ASOS,analyst,senior,22,30,3.1,1,1,0,0,0,1,retail,21,$1 to $2 billion (USD),Public,2937,1001,5000,3000.0,26.0
193,The Hut Group,manager,na,22,30,3.3,0,0,0,0,0,0,retail,17,$500 million to $1 billion (USD),Private,4936,5001,10000,7500.0,26.0
194,Park Street People,na,na,22,30,4.4,0,0,0,0,0,1,public,33,Unknown / Non-Applicable,Private,1880,1,50,26.0,26.0
195,Thornshaw Scientific Recruitment,manager,senior,22,30,-1.0,0,0,0,0,0,0,public,-1,Less than $1 million (USD),Private,2629,1,50,26.0,26.0
196,Deliveroo,manager,na,22,30,3.6,0,1,0,0,0,1,telecommunication,8,Unknown / Non-Applicable,Private,5315,1001,5000,3000.0,26.0
197,Remit Group,na,na,22,30,4.2,0,0,0,0,0,1,education,25,Unknown / Non-Applicable,Private,5266,201,500,350.0,26.0
198,EMCOR Group (UK),na,na,22,30,3.3,0,0,0,0,0,1,public,57,$100 to $500 million (USD),Public,5652,1001,5000,3000.0,26.0
199,Bud,na,na,22,30,3.7,0,0,0,0,0,0,inforamtion tech,6,Unknown / Non-Applicable,Private,6597,51,200,126.0,26.0
200,The Hut Group,manager,na,22,30,3.3,0,0,0,0,0,1,retail,17,$500 million to $1 billion (USD),Private,3924,5001,10000,7500.0,26.0
201,Thomson Reuters,analyst,na,22,30,4.2,0,1,0,0,0,0,inforamtion tech,13,$5 to $10 billion (USD),Public,6354,10000,10000,10000.0,26.0
202,AXA UK,manager,na,22,30,4.2,1,1,0,0,0,1,finance,25,Unknown / Non-Applicable,Private,8681,5001,10000,7500.0,26.0
203,Pai Skincare,na,na,22,30,4.1,0,0,0,0,0,1,production,14,Unknown / Non-Applicable,Private,3358,1,50,26.0,26.0
204,Parrot Analytics,analyst,senior,22,30,4.0,1,1,0,0,0,1,inforamtion tech,-1,Unknown / Non-Applicable,Private,6819,1,50,26.0,26.0
205,Cisco Systems,na,na,22,30,4.3,0,0,0,0,0,1,inforamtion tech,37,$10+ billion (USD),Private,4633,10000,10000,10000.0,26.0
206,Lucy Group,na,na,22,30,3.4,0,0,0,0,0,1,public,-1,$25 to $50 million (USD),Private,4962,201,500,350.0,26.0
207,Pfizer,director,senior,22,30,4.2,0,0,0,0,1,1,medical,172,$10+ billion (USD),Public,6414,10000,10000,10000.0,26.0
208,"Pixalate, Inc.",data engineer,na,22,30,3.4,0,1,0,1,1,1,inforamtion tech,9,$10 to $25 million (USD),Private,3518,1,50,26.0,26.0
209,Marsh and McLennan,na,na,22,30,3.7,0,0,0,0,0,1,finance,150,$10+ billion (USD),Public,5720,10000,10000,10000.0,26.0
210,Intelligent Growth Solutions Limited,na,senior,22,30,5.0,0,1,0,0,0,0,production,8,Unknown / Non-Applicable,Private,3776,51,200,126.0,26.0
211,"Pixalate, Inc.",data scientist,senior,22,30,3.4,1,1,0,0,1,1,inforamtion tech,9,$10 to $25 million (USD),Private,3706,1,50,26.0,26.0
212,Sky,na,senior,35,47,3.9,0,1,0,0,0,0,telecommunication,32,$5 to $10 billion (USD),Public,5112,10000,10000,10000.0,41.0
213,Quanta,na,na,35,47,4.4,0,0,0,0,0,1,public,29,$50 to $100 million (USD),Private,2324,51,200,126.0,41.0
214,AstraZeneca UK,na,na,35,47,4.2,0,1,0,0,0,1,medical,108,$10+ billion (USD),Public,3805,10000,10000,10000.0,41.0
215,IQVIA,director,na,35,47,3.8,0,0,0,0,0,0,medical,4,$2 to $5 billion (USD),Public,3436,10000,10000,10000.0,41.0
216,Domino Printing,na,na,35,47,4.3,0,0,0,0,0,1,production,43,$100 to $500 million (USD),Public,4111,1001,5000,3000.0,41.0
217,Thermo Fisher Scientific,na,na,35,47,3.6,0,0,0,0,0,1,medical,119,$10+ billion (USD),Public,3889,10000,10000,10000.0,41.0
218,Thermo Fisher Scientific,na,na,35,47,3.6,0,0,0,0,0,1,medical,119,$10+ billion (USD),Public,4313,10000,10000,10000.0,41.0
219,AstraZeneca,director,senior,35,47,4.2,0,0,0,0,0,1,medical,108,$10+ billion (USD),Public,5403,10000,10000,10000.0,41.0
220,Capgemini,na,na,35,47,4.3,0,0,0,0,0,1,inforamtion tech,54,$10+ billion (USD),Public,6095,10000,10000,10000.0,41.0
221,AstraZeneca,director,na,35,47,4.2,0,0,0,0,0,1,medical,108,$10+ billion (USD),Public,5562,10000,10000,10000.0,41.0
222,AstraZeneca,manager,na,35,47,4.2,0,0,0,0,0,0,medical,108,$10+ billion (USD),Public,4709,10000,10000,10000.0,41.0
223,AF Selection,manager,na,35,47,-1.0,0,0,0,0,0,1,public,-1,$100 to $500 million (USD),Public,3192,201,500,350.0,41.0
224,Thermo Fisher Scientific,na,na,35,47,3.6,0,0,0,0,0,1,medical,119,$10+ billion (USD),Public,3253,10000,10000,10000.0,41.0
225,Domino Printing Sciences,na,na,35,47,4.3,0,0,0,0,0,1,production,43,$100 to $500 million (USD),Public,3912,1001,5000,3000.0,41.0
226,MMS Holdings Inc.,manager,na,35,47,3.9,0,0,0,0,0,1,medical,15,Unknown / Non-Applicable,Private,7573,201,500,350.0,41.0
227,IQVIA,na,na,35,47,3.8,0,0,0,0,0,0,medical,4,$2 to $5 billion (USD),Public,2722,10000,10000,10000.0,41.0
228,IQVIA,na,na,35,47,3.8,0,0,0,0,0,0,public,-1,Less than $1 million (USD),Public,2722,201,500,350.0,41.0
229,MMR Research Worldwide LTD,director,na,35,47,3.4,0,0,0,0,0,1,public,-1,$25 to $50 million (USD),Public,3710,10000,10000,10000.0,41.0
230,"AMETEK, Inc.",director,na,35,47,4.1,0,0,0,0,0,1,production,91,$5 to $10 billion (USD),Public,3249,10000,10000,10000.0,41.0
231,Ormiston Academies Trust,na,senior,35,47,4.1,0,0,0,0,0,0,public,-1,$100 to $500 million (USD),Organization,892,1001,5000,3000.0,41.0
232,Keoghs,na,na,35,47,3.4,0,0,0,0,0,1,public,53,$50 to $100 million (USD),Private,4438,1001,5000,3000.0,41.0
233,Stericycle,analyst,senior,35,47,3.5,1,0,0,0,1,1,public,32,$2 to $5 billion (USD),Public,3263,10000,10000,10000.0,41.0
234,Gilead Sciences,director,na,35,47,3.7,0,0,0,0,1,1,medical,34,$10+ billion (USD),Public,7705,10000,10000,10000.0,41.0
235,Stericycle,analyst,senior,35,47,3.5,1,0,0,0,0,1,public,32,$2 to $5 billion (USD),Public,2807,10000,10000,10000.0,41.0
236,AstraZeneca,director,na,35,47,4.2,0,0,0,0,0,1,medical,108,$10+ billion (USD),Public,5518,10000,10000,10000.0,41.0
237,Gilead Sciences,director,na,35,47,3.7,0,0,0,0,1,1,medical,34,$10+ billion (USD),Public,5830,10000,10000,10000.0,41.0
238,Kleboe Jardine,na,na,35,47,-1.0,0,0,0,0,0,1,public,-1,$10+ billion (USD),Private,2689,201,500,350.0,41.0
239,Infosys Limited,na,na,35,47,3.8,0,0,0,0,0,1,public,40,$10+ billion (USD),Public,2865,10000,10000,10000.0,41.0
240,Corin,na,senior,35,47,-1.0,0,0,0,0,0,1,public,-1,Less than $1 million (USD),Private,4026,10000,10000,10000.0,41.0
241,MediaCom,manager,na,35,47,3.3,0,0,0,0,0,1,telecommunication,26,$1 to $2 billion (USD),Private,3531,1001,5000,3000.0,41.0
242,Office for National Statistics,na,na,15,16,4.3,0,0,0,0,0,0,public,25,Unknown / Non-Applicable,Government,12380,1001,5000,3000.0,15.5
243,MSD,na,na,15,16,4.1,0,0,0,0,0,1,medical,130,$10+ billion (USD),Public,6686,10000,10000,10000.0,15.5
244,Takeda Pharmaceuticals,na,na,15,16,3.8,0,0,0,0,0,1,medical,240,$10+ billion (USD),Public,3414,10000,10000,10000.0,15.5
245,AbbVie,director,na,15,16,3.9,0,0,0,0,0,1,medical,8,$10+ billion (USD),Public,7082,10000,10000,10000.0,15.5
246,Runecast,manager,na,15,16,4.8,0,0,0,0,0,1,inforamtion tech,7,Unknown / Non-Applicable,Private,2970,1,50,26.0,15.5
247,Freemavens,analyst,na,15,16,4.4,0,0,0,0,0,0,public,-1,Less than $1 million (USD),Private,3199,1,50,26.0,15.5
248,Freemavens,analyst,na,15,16,4.4,0,0,0,0,0,0,public,-1,Less than $1 million (USD),Private,3198,1,50,26.0,15.5
249,Northumbria Pharma,na,na,15,16,4.0,0,0,0,0,0,1,public,-1,Less than $1 million (USD),Private,2547,1,50,26.0,15.5
250,Faculty,director,na,15,16,3.8,0,0,0,0,0,0,telecommunication,7,$10 to $25 million (USD),Private,5009,51,200,126.0,15.5
251,IQVIA,na,na,15,16,3.8,0,0,0,0,0,0,medical,4,$2 to $5 billion (USD),Public,3364,10000,10000,10000.0,15.5
252,Vertex Pharmaceuticals,na,na,15,16,3.4,0,0,0,0,0,1,medical,32,$5 to $10 billion (USD),Public,2086,1001,5000,3000.0,15.5
253,CK Group,manager,na,15,16,4.3,0,0,0,0,0,0,public,-1,$1 to $5 million (USD),Public,1788,1,50,26.0,15.5
254,Freemavens,analyst,na,15,16,4.4,0,0,0,0,0,0,public,-1,Less than $1 million (USD),Private,4277,1,50,26.0,15.5
255,Freemavens,analyst,na,15,16,4.4,0,0,0,0,0,0,public,-1,Less than $1 million (USD),Private,4281,1,50,26.0,15.5
256,Your.MD,ai researcher,na,15,16,4.2,0,0,0,0,0,1,medical,8,Unknown / Non-Applicable,Private,4046,51,200,126.0,15.5
257,Ruroc,director,na,15,16,-1.0,0,0,0,0,0,1,production,11,Unknown / Non-Applicable,Private,5570,51,200,126.0,15.5
258,Walnut Unlimited,manager,na,15,16,4.1,0,0,0,0,0,1,public,-1,Less than $1 million (USD),Private,6699,201,500,350.0,15.5
259,Elekta,manager,na,15,16,3.1,0,0,0,0,0,1,medical,49,$1 to $2 billion (USD),Public,4747,1001,5000,3000.0,15.5
260,BAE Systems Applied Intelligence,data engineer,na,15,16,3.4,1,1,0,0,0,1,inforamtion tech,50,$500 million to $1 billion (USD),Venture,4740,1001,5000,3000.0,15.5
261,Hobson Prior,na,na,15,16,4.4,0,0,0,0,0,1,public,19,Unknown / Non-Applicable,Venture,2179,51,200,126.0,15.5
262,Teledyne Technologies,na,na,15,16,3.2,0,0,0,0,1,1,production,22,$2 to $5 billion (USD),Public,7492,5001,10000,7500.0,15.5
263,Gregory-Martin International,analyst,na,15,16,-1.0,0,0,0,0,0,1,public,-1,Unknown / Non-Applicable,Organization,3275,1,50,26.0,15.5
264,RB,na,na,15,16,3.6,0,0,0,0,0,1,production,198,$10+ billion (USD),Public,2369,10000,10000,10000.0,15.5
265,Costain,consultant,na,15,16,3.8,0,0,0,0,0,0,public,-1,$1 to $2 billion (USD),Public,5738,1001,5000,3000.0,15.5
266,Kandidate,na,na,15,16,5.0,0,0,0,0,0,1,public,6,Unknown / Non-Applicable,Private,4688,1,50,26.0,15.5
267,Harnham,na,na,15,16,4.0,0,0,0,0,0,1,public,15,$25 to $50 million (USD),Private,1403,51,200,126.0,15.5
268,UK Government - Home Office,ai researcher,senior,15,16,3.8,0,0,0,0,0,0,public,239,Unknown / Non-Applicable,Government,6130,10000,10000,10000.0,15.5
269,HILTI,manager,na,15,16,4.2,0,1,0,1,0,1,production,66,$1 to $2 billion (USD),Venture,4343,1001,5000,3000.0,15.5
270,ZS Associates,consultant,na,15,16,3.9,0,0,0,0,0,0,public,38,Unknown / Non-Applicable,Private,3952,5001,10000,7500.0,15.5
271,Intent HQ,manager,na,15,16,4.5,0,0,0,0,0,0,inforamtion tech,-1,$1 to $5 million (USD),Private,3036,1,50,26.0,15.5
272,Canonical,na,na,78,100,3.7,0,0,0,0,0,0,public,17,$50 to $100 million (USD),Private,2624,501,1000,750.0,89.0
273,Adobe,analyst,na,78,100,4.3,0,0,0,0,0,1,inforamtion tech,39,$5 to $10 billion (USD),Public,3819,10000,10000,10000.0,89.0
274,University of Essex,na,senior,78,100,4.2,0,0,0,0,0,1,education,-1,$100 to $500 million (USD),College / University,5282,1001,5000,3000.0,89.0
275,ZS Associates,consultant,na,78,100,3.9,0,0,0,0,0,0,public,38,Unknown / Non-Applicable,Private,3955,5001,10000,7500.0,89.0
276,Yoti,analyst,senior,78,100,3.6,0,1,0,0,0,0,public,7,Unknown / Non-Applicable,Private,4697,201,500,350.0,89.0
277,IQVIA,analyst,na,78,100,3.8,0,0,0,0,0,1,medical,4,$2 to $5 billion (USD),Public,3808,10000,10000,10000.0,89.0
278,Covance,na,na,78,100,3.8,0,0,0,0,0,1,medical,25,$10 to $25 million (USD),Public,2312,10000,10000,10000.0,89.0
279,MWI Animal Health,na,na,78,100,-1.0,0,0,0,0,0,0,public,-1,Unknown / Non-Applicable,Public,2077,1001,5000,3000.0,89.0
280,Kindred Group,ai researcher,na,78,100,3.6,0,0,0,0,0,1,telecommunication,24,Unknown / Non-Applicable,Public,2537,1001,5000,3000.0,89.0
281,Bloom and Wild,na,senior,78,100,5.0,0,0,0,0,0,1,public,8,Unknown / Non-Applicable,Private,6095,51,200,126.0,89.0
282,Gilead Sciences,manager,na,78,100,3.7,0,0,0,0,1,1,medical,34,$10+ billion (USD),Public,6678,10000,10000,10000.0,89.0
283,University of York,na,na,78,100,4.6,0,1,0,0,0,0,education,-1,$100 to $500 million (USD),College / University,2671,1001,5000,3000.0,89.0
284,Veeva Systems,na,na,78,100,3.8,0,1,0,0,0,1,inforamtion tech,14,$500 million to $1 billion (USD),Public,4294,1001,5000,3000.0,89.0
285,Merck KGaA,manager,na,78,100,4.1,0,0,0,0,0,0,medical,353,$10+ billion (USD),Public,3964,10000,10000,10000.0,89.0
286,sofi,na,na,78,100,3.4,0,0,0,0,0,1,finance,10,Unknown / Non-Applicable,Private,3564,1001,5000,3000.0,89.0
287,The Hut Group,manager,na,78,100,3.3,0,0,0,0,0,0,retail,17,$500 million to $1 billion (USD),Private,4936,5001,10000,7500.0,89.0
288,The Economist Newspaper Limited,analyst,senior,78,100,4.0,1,1,0,0,0,1,public,178,Unknown / Non-Applicable,Private,3416,1001,5000,3000.0,89.0
289,Echobox,manager,na,78,100,4.5,0,0,0,0,0,0,inforamtion tech,-1,Unknown / Non-Applicable,Private,4873,1,50,26.0,89.0
290,University of Liverpool,na,na,78,100,4.3,0,0,0,0,0,0,education,-1,$100 to $500 million (USD),College / University,1696,1001,5000,3000.0,89.0
291,The Royal Society of Chemistry,na,na,78,100,4.0,0,0,0,0,0,1,public,180,$50 to $100 million (USD),Organization,2592,501,1000,750.0,89.0
292,IC Resources,data engineer,na,78,100,4.4,1,1,0,0,0,0,inforamtion tech,22,Unknown / Non-Applicable,Private,1467,51,200,126.0,89.0
293,Harnham,na,senior,78,100,4.0,1,0,0,0,0,1,public,15,$25 to $50 million (USD),Private,1660,51,200,126.0,89.0
294,Harnham,data scientist,senior,78,100,4.0,1,0,0,1,1,0,public,15,$25 to $50 million (USD),Private,2803,51,200,126.0,89.0
295,Pexip,na,na,78,100,4.9,1,0,0,0,1,0,inforamtion tech,9,$50 to $100 million (USD),Public,5080,201,500,350.0,89.0
296,Gilead Sciences,manager,na,78,100,3.7,0,0,0,0,1,1,medical,34,$10+ billion (USD),Public,6697,10000,10000,10000.0,89.0
297,The Hut Group,na,na,78,100,3.3,0,0,0,0,0,1,retail,17,$500 million to $1 billion (USD),Private,5180,5001,10000,7500.0,89.0
298,The Hut Group,manager,na,78,100,3.3,0,0,0,0,0,1,retail,17,$500 million to $1 billion (USD),Private,3924,5001,10000,7500.0,89.0
299,Intouch Games,data engineer,na,78,100,3.6,0,1,0,0,0,1,public,-1,Unknown / Non-Applicable,Private,2461,201,500,350.0,89.0
300,Greensill,manager,na,78,100,4.2,0,0,0,0,1,0,finance,10,Unknown / Non-Applicable,Private,3428,201,500,350.0,89.0
301,Thomson Reuters,analyst,na,78,100,4.2,0,1,0,0,0,0,inforamtion tech,13,$5 to $10 billion (USD),Public,6354,10000,10000,10000.0,89.0
302,Parrot Analytics,analyst,senior,20,33,4.0,1,1,0,0,0,1,inforamtion tech,-1,Unknown / Non-Applicable,Private,6819,1,50,26.0,26.5
303,Your.MD,na,senior,20,33,4.2,0,0,0,0,0,1,medical,8,Unknown / Non-Applicable,Private,3696,51,200,126.0,26.5
304,Cisco Systems,na,na,20,33,4.3,0,0,0,0,0,1,inforamtion tech,37,$10+ billion (USD),Private,4692,10000,10000,10000.0,26.5
305,Yieldify,director,na,20,33,3.9,0,0,0,0,0,1,inforamtion tech,9,Unknown / Non-Applicable,Private,4302,51,200,126.0,26.5
306,QuantuMDx Group Ltd,na,na,20,33,3.8,0,0,0,0,0,1,medical,-1,Less than $1 million (USD),Private,4717,1,50,26.0,26.5
307,Swansea University,na,na,20,33,4.4,0,0,0,0,0,0,education,101,$100 to $500 million (USD),College / University,3077,1001,5000,3000.0,26.5
308,Amazon,manager,senior,20,33,3.9,0,1,0,0,0,1,telecommunication,27,$10+ billion (USD),Public,5271,10000,10000,10000.0,26.5
309,Clarivate Analytics,manager,na,20,33,3.7,0,0,0,0,0,1,public,5,$1 to $2 billion (USD),Public,5132,5001,10000,7500.0,26.5
310,Lonza,manager,na,20,33,3.4,0,0,0,0,0,1,medical,124,$5 to $10 billion (USD),Public,5294,10000,10000,10000.0,26.5
311,Home Office,ai researcher,senior,20,33,3.8,0,0,0,0,0,1,public,239,Unknown / Non-Applicable,Government,14413,10000,10000,10000.0,26.5
312,The Estée Lauder Companies,na,na,20,33,3.8,0,0,0,0,0,1,production,75,$10+ billion (USD),Public,2590,10000,10000,10000.0,26.5
313,The Hut Group,manager,na,20,33,3.3,0,0,0,0,0,1,retail,17,$500 million to $1 billion (USD),Private,4731,5001,10000,7500.0,26.5
314,Amazon,manager,senior,20,33,3.9,0,0,0,0,1,0,telecommunication,27,$10+ billion (USD),Public,5359,10000,10000,10000.0,26.5
315,Amazon,manager,senior,20,33,3.9,0,0,0,0,1,0,public,-1,$500 million to $1 billion (USD),Private,5359,10000,10000,10000.0,26.5
316,Marsh and McLennan,na,na,20,33,3.7,0,0,0,0,0,1,finance,150,$10+ billion (USD),Public,5720,10000,10000,10000.0,26.5
317,Oracle,manager,na,20,33,3.6,1,1,0,0,0,1,inforamtion tech,44,$10+ billion (USD),Public,4992,10000,10000,10000.0,26.5
318,BeiGene,director,na,20,33,3.3,0,0,0,0,0,1,medical,11,$10 to $25 million (USD),Public,10478,1001,5000,3000.0,26.5
319,Dornan Engineering Limited,na,na,20,33,3.3,0,0,0,0,0,0,production,55,$100 to $500 million (USD),Private,2507,1001,5000,3000.0,26.5
320,NES Fircroft,manager,na,20,33,3.6,0,0,0,0,0,0,public,43,$500 million to $1 billion (USD),Private,2813,1001,5000,3000.0,26.5
321,London School of Hygiene & Tropical Medicine,na,na,20,33,3.8,0,0,0,0,0,1,education,-1,$100 to $500 million (USD),College / University,3195,501,1000,750.0,26.5
322,Purina,manager,na,20,33,4.2,0,0,0,0,0,0,production,127,Unknown / Non-Applicable,Venture,4645,10000,10000,10000.0,26.5
323,IQVIA,na,na,20,33,3.8,0,0,0,0,0,0,medical,4,$2 to $5 billion (USD),Public,2940,10000,10000,10000.0,26.5
324,Bangor University,na,na,20,33,3.7,0,0,0,0,0,1,education,-1,$100 to $500 million (USD),College / University,13912,1001,5000,3000.0,26.5
325,Bottomline Technologies,manager,na,20,33,3.8,0,0,0,0,0,0,inforamtion tech,32,$100 to $500 million (USD),Public,4510,1001,5000,3000.0,26.5
326,Bottomline Technologies,manager,na,20,33,3.8,0,0,0,0,0,0,inforamtion tech,32,$100 to $500 million (USD),Public,4508,1001,5000,3000.0,26.5
327,Lonza,na,na,20,33,3.4,0,0,0,0,0,1,medical,124,$5 to $10 billion (USD),Public,3225,10000,10000,10000.0,26.5
328,"JPMorgan Chase Bank, N.A.",na,na,20,33,3.8,0,0,0,0,0,0,finance,222,$10+ billion (USD),Venture,2821,10000,10000,10000.0,26.5
329,Pharmalex,manager,senior,20,33,3.7,0,0,0,0,0,1,public,6,$10 to $25 million (USD),Organization,2995,201,500,350.0,26.5
330,Balfour Beatty,na,na,20,33,3.6,0,0,0,0,0,0,public,112,$500 million to $1 billion (USD),Public,5946,10000,10000,10000.0,26.5
331,Healthcare Consultancy Group,na,senior,20,33,4.3,0,0,0,0,0,1,telecommunication,34,$50 to $100 million (USD),Public,5472,201,500,350.0,26.5
332,BT,manager,senior,35,51,3.7,0,0,0,0,0,1,telecommunication,175,Unknown / Non-Applicable,Public,6310,10000,10000,10000.0,43.0
333,Oxford Immunotec,director,na,35,51,3.2,0,0,0,0,0,1,medical,19,$25 to $50 million (USD),Public,6393,201,500,350.0,43.0
334,Elsevier,director,na,35,51,3.7,0,1,0,0,0,1,public,141,$2 to $5 billion (USD),Venture,5424,5001,10000,7500.0,43.0
335,Harnham,analyst,senior,35,51,4.0,1,1,0,0,0,0,public,15,$25 to $50 million (USD),Private,2198,51,200,126.0,43.0
336,Cmed,na,senior,35,51,3.8,0,0,0,0,0,0,medical,21,$10 to $25 million (USD),Private,3896,201,500,350.0,43.0
337,Cmed,na,senior,35,51,3.8,0,0,0,0,0,0,medical,21,$10 to $25 million (USD),Private,3895,201,500,350.0,43.0
338,Harnham,analyst,na,35,51,4.0,0,0,0,0,0,1,public,15,$25 to $50 million (USD),Private,1525,51,200,126.0,43.0
339,UK Government - Ministry of Defence,na,na,35,51,3.9,0,0,0,0,0,1,public,57,$2 to $5 billion (USD),Government,7142,10000,10000,10000.0,43.0
340,Ministry of Defence,na,na,35,51,4.2,0,0,0,0,0,1,public,-1,Less than $1 million (USD),Government,9662,201,500,350.0,43.0
341,Thermo Fisher Scientific,na,na,35,51,3.6,0,0,0,0,0,0,medical,119,$10+ billion (USD),Public,5004,10000,10000,10000.0,43.0
342,Pfizer,manager,senior,35,51,4.2,0,0,0,0,0,1,medical,172,$10+ billion (USD),Public,6411,10000,10000,10000.0,43.0
343,Zulu Forest Sciences,director,na,35,51,-1.0,0,0,0,0,0,1,public,-1,$1 to $2 billion (USD),Public,4064,51,200,126.0,43.0
344,Cambridge University Hospitals NHS Foundation Trust,na,senior,35,51,3.8,0,0,0,0,0,1,medical,302,$500 million to $1 billion (USD),Hospital,2333,10000,10000,10000.0,43.0
345,Domino Printing Sciences,na,na,35,51,4.3,0,0,0,0,0,0,production,43,$100 to $500 million (USD),Public,3426,1001,5000,3000.0,43.0
346,Global Pricing Innovations,manager,na,35,51,3.7,0,0,0,0,0,1,medical,6,Unknown / Non-Applicable,Private,3613,1,50,26.0,43.0
347,Thermo Fisher Scientific,na,senior,35,51,3.6,0,0,0,0,0,1,medical,119,$10+ billion (USD),Public,3965,10000,10000,10000.0,43.0
348,IQVIA,manager,na,35,51,3.8,0,0,0,0,0,0,medical,4,$2 to $5 billion (USD),Public,4596,10000,10000,10000.0,43.0
349,Bristol Myers Squibb,director,na,35,51,4.0,0,0,0,0,0,1,medical,163,$10+ billion (USD),Public,8009,10000,10000,10000.0,43.0
350,Henry Nicholas Associates,na,na,35,51,5.0,0,0,0,0,0,1,public,12,Less than $1 million (USD),Private,3686,1,50,26.0,43.0
351,Manchester Metropolitan University,na,na,35,51,4.0,0,0,0,0,0,1,education,178,Unknown / Non-Applicable,College / University,3230,1001,5000,3000.0,43.0
352,EduStaff,na,na,35,51,4.1,0,0,0,0,0,1,public,12,$50 to $100 million (USD),Public,3654,10000,10000,10000.0,43.0
353,Ministry of Defence,manager,na,35,51,4.2,0,0,0,0,0,1,public,-1,Less than $1 million (USD),Government,12364,201,500,350.0,43.0
354,TalentPool,na,na,35,51,4.5,1,1,0,0,0,0,public,-1,Unknown / Non-Applicable,Organization,2816,1,50,26.0,43.0
355,Smith & Nephew,director,na,35,51,3.8,0,0,0,0,1,1,medical,165,$2 to $5 billion (USD),Private,4959,10000,10000,10000.0,43.0
356,Aviva,na,senior,35,51,3.6,0,0,0,0,0,1,finance,160,$5 to $10 billion (USD),Public,4057,10000,10000,10000.0,43.0
357,Moonpig,manager,na,35,51,4.4,1,1,0,0,0,0,telecommunication,21,$100 to $500 million (USD),Private,3004,51,200,126.0,43.0
358,Primary Care Services,na,na,35,51,2.7,0,0,0,0,0,1,public,-1,$1 to $5 million (USD),Private,4593,51,200,126.0,43.0
359,The Hut Group,manager,senior,35,51,3.3,0,0,0,0,0,0,retail,17,$500 million to $1 billion (USD),Private,4735,5001,10000,7500.0,43.0
360,IQVIA,na,na,35,51,3.8,0,0,0,0,0,1,medical,4,$2 to $5 billion (USD),Public,4058,10000,10000,10000.0,43.0
361,Study Group,na,na,35,51,3.1,0,0,0,0,0,0,education,27,$100 to $500 million (USD),Private,3189,1001,5000,3000.0,43.0
362,European Molecular Biology Laboratory,na,na,23,42,4.4,1,0,0,1,0,1,medical,48,Unknown / Non-Applicable,Public,7652,1001,5000,3000.0,32.5
363,Clarivate Analytics,manager,na,23,42,3.7,0,0,0,0,0,1,public,5,$1 to $2 billion (USD),Public,5132,5001,10000,7500.0,32.5
364,Lonza,manager,na,23,42,3.4,0,0,0,0,0,1,medical,124,$5 to $10 billion (USD),Public,5294,10000,10000,10000.0,32.5
365,Entain,data scientist,senior,23,42,3.5,1,1,0,0,0,0,public,1,$2 to $5 billion (USD),Public,3144,10000,10000,10000.0,32.5
366,H&R Talent,na,na,23,42,-1.0,1,1,0,0,1,1,public,-1,Less than $1 million (USD),Private,2029,1,50,26.0,32.5
367,"Pixalate, Inc.",data engineer,na,23,42,3.4,0,1,0,1,1,1,inforamtion tech,9,$10 to $25 million (USD),Private,3518,1,50,26.0,32.5
368,Amazon,manager,senior,23,42,3.9,0,0,0,0,1,0,telecommunication,27,$10+ billion (USD),Public,5359,10000,10000,10000.0,32.5
369,Deloitte UK,consultant,na,23,42,3.9,1,1,0,0,0,1,finance,171,$10+ billion (USD),Private,11083,10000,10000,10000.0,32.5
370,Deloitte,consultant,na,23,42,3.9,1,1,0,0,0,1,finance,171,$10+ billion (USD),Private,11708,10000,10000,10000.0,32.5
371,Citi,na,na,23,42,3.9,1,0,0,1,1,1,finance,209,$10+ billion (USD),Public,7980,10000,10000,10000.0,32.5
372,Yelp,na,senior,23,42,3.4,1,0,0,1,0,1,telecommunication,17,$1 to $2 billion (USD),Public,3986,5001,10000,7500.0,32.5
373,Thermo Fisher Scientific,na,na,23,42,3.6,0,0,0,0,0,0,medical,119,$10+ billion (USD),Public,4421,10000,10000,10000.0,32.5
374,Oracle,manager,na,23,42,3.6,1,1,0,0,0,1,inforamtion tech,44,$10+ billion (USD),Public,4992,10000,10000,10000.0,32.5
375,BeiGene,director,na,23,42,3.3,0,0,0,0,0,1,medical,11,$10 to $25 million (USD),Public,10478,1001,5000,3000.0,32.5
376,"Pixalate, Inc.",data scientist,senior,23,42,3.4,1,1,0,0,1,1,inforamtion tech,9,$10 to $25 million (USD),Private,3706,1,50,26.0,32.5
377,Dornan Engineering Limited,na,na,23,42,4.0,0,0,0,0,0,0,production,55,$100 to $500 million (USD),Private,2507,1001,5000,3000.0,32.5
378,Moody's Corporation,director,na,23,42,3.8,0,1,0,0,0,1,finance,121,$2 to $5 billion (USD),Public,5327,10000,10000,10000.0,32.5
